Scheme Name       : start_scheme
Scheme lnL        : -23172911.1529
Scheme AICc       : 46388725.7469
Number of params  : 20870
Number of sites   : 769646
Number of subsets : 3102

Subset | Best Model | Subset Partitions              | Subset Sites                   | Alignment                               
601    | VT+G       | EOG091E01E3                    | 151022-151064                  | ./analysis/phylofiles/eb9fff0a5c8b563312616ec0a641e07d.phy
602    | JTT+G      | EOG091E00VO                    | 151065-151282                  | ./analysis/phylofiles/740dcd0fe558bdee9f80b848e2481aab.phy
603    | LG+I+G     | EOG091E00T4                    | 151283-151762                  | ./analysis/phylofiles/087bd1f06ed5cc193f8b93b62df513fd.phy
604    | JTT+G      | EOG091E01RJ                    | 151763-152034                  | ./analysis/phylofiles/3dc02d06a8f0bf77a5f1d5a1065c385d.phy
605    | JTT+G      | EOG091E00CD                    | 152035-152551                  | ./analysis/phylofiles/59a194f31fb8b8e3ca8f7a5ea930e416.phy
606    | LG+I+G     | EOG091E01ZT                    | 152552-152803                  | ./analysis/phylofiles/ddd0ef5a8fb39f5ff9f97ebb7f784a60.phy
607    | JTT+G+F    | EOG091E00S3                    | 152804-153259                  | ./analysis/phylofiles/6375ffae5a3ae56f316e31f11ae24d1b.phy
608    | LG+G+F     | EOG091E01XY                    | 153260-153526                  | ./analysis/phylofiles/db355b0c61608cee495512fc079a81c7.phy
609    | LG+I+G+F   | EOG091E03KH                    | 153527-153773                  | ./analysis/phylofiles/0f40d862931ccebd14a37a41eaa1a87f.phy
610    | WAG+G+F    | EOG091E02ZY                    | 153774-154003                  | ./analysis/phylofiles/d399139bd741dd5ca07b5d504b4d4db7.phy
611    | JTT+G      | EOG091E01HN                    | 154004-154226                  | ./analysis/phylofiles/22accb71231d89e57995dbde2732d840.phy
612    | LG+I+G+F   | EOG091E02KN                    | 154227-154432                  | ./analysis/phylofiles/2a5d005614df35bb1a954cf3e89f8575.phy
613    | LG+G+F     | EOG091E02TS                    | 154433-154707                  | ./analysis/phylofiles/62d66952ee250e2b0fd5cc1022373cae.phy
614    | JTT+G      | EOG091E01QE                    | 154708-154924                  | ./analysis/phylofiles/640400667f37908cf870ead7dd4a4c47.phy
615    | LG+G       | EOG091E03GM                    | 154925-155050                  | ./analysis/phylofiles/80bf05d8065f74b8bcdeedf3f5bd12bc.phy
616    | LG+I+G     | EOG091E02IY                    | 155051-155232                  | ./analysis/phylofiles/0f8b497de9bcad8610e3bbd967138387.phy
617    | LG+G+F     | EOG091E02T8                    | 155233-155486                  | ./analysis/phylofiles/6b7f3f79b18ff6c822cb279221853674.phy
618    | LG+I+G     | EOG091E03TG                    | 155487-155573                  | ./analysis/phylofiles/e6596e71f0df4bca23864fb4d87467ff.phy
619    | JTT+I+G+F  | EOG091E01IP                    | 155574-155909                  | ./analysis/phylofiles/948b4f4cf168c90d48cdf3d8b8a07368.phy
620    | LG+I+G     | EOG091E02IP                    | 155910-156218                  | ./analysis/phylofiles/e66e6a43cee53ad2589af93e55e19fa6.phy
621    | JTT+G      | EOG091E03D6                    | 156219-156329                  | ./analysis/phylofiles/6bc2b368f2d52c90df9a05fb9f5a8ddf.phy
622    | LG+I+G     | EOG091E02AN                    | 156330-156541                  | ./analysis/phylofiles/1a8d3e2b9ed946454726e6159fd9d1c5.phy
623    | LG+I+G+F   | EOG091E01LY                    | 156542-156854                  | ./analysis/phylofiles/3ec6e868e20774422be5f8f741913b2c.phy
624    | LG+I+G     | EOG091E01ZH                    | 156855-157074                  | ./analysis/phylofiles/85fa04436982799babb8760560692d42.phy
625    | LG+I+G     | EOG091E03CG                    | 157075-157216                  | ./analysis/phylofiles/1219fc2ad8b96913c2addb7ceafd0c9b.phy
626    | LG+I+G     | EOG091E01YB                    | 157217-157469                  | ./analysis/phylofiles/f5b53e2fe6ea4e654c46907aa65521b9.phy
627    | LG+G       | EOG091E02V2                    | 157470-157572                  | ./analysis/phylofiles/9404c57ddc041221dd61bcd98568403d.phy
628    | LG+G       | EOG091E01CS                    | 157573-157851                  | ./analysis/phylofiles/8fcf4cbc0dd3db7af12c2ad012994d61.phy
629    | JTT+G      | EOG091E01KZ                    | 157852-158128                  | ./analysis/phylofiles/20fad60a6a25916ea5ad8895a0c847f5.phy
630    | JTT+G      | EOG091E02O0                    | 158129-158340                  | ./analysis/phylofiles/fdf1b6590cb6254e84ae98ed71a5ede4.phy
631    | JTT+G      | EOG091E04SG                    | 158341-158427                  | ./analysis/phylofiles/c82bfeb62179e0a9848e1d0c828792a4.phy
632    | LG+G       | EOG091E038O                    | 158428-158574                  | ./analysis/phylofiles/33997f3255c3b4d3cc9c1d477eacbd21.phy
633    | JTT+G      | EOG091E00RC                    | 158575-158765                  | ./analysis/phylofiles/90fee6e4ad07dacba7cf7ea16947e6a5.phy
634    | LG+I+G+F   | EOG091E02AQ                    | 158766-159073                  | ./analysis/phylofiles/f09b6f1c3fbeac1e884dc426b4949428.phy
635    | LG+G       | EOG091E01C0                    | 159074-159416                  | ./analysis/phylofiles/d3ae12ceef87296c7e1ee1a053bf1f80.phy
636    | LG+G+F     | EOG091E02AW                    | 159417-159697                  | ./analysis/phylofiles/7831944542c2a0dabc8dd0c2f9b115a8.phy
637    | LG+G       | EOG091E00CX                    | 159698-160299                  | ./analysis/phylofiles/224cf52579ca96970d992b403bf2bf24.phy
638    | JTT+I+G    | EOG091E01UC                    | 160300-160599                  | ./analysis/phylofiles/a593766606f363e7df54fb28a02bd006.phy
639    | LG+G+F     | EOG091E026B                    | 160600-160852                  | ./analysis/phylofiles/b5d65e0cd0df06d03b70820ce629fcd0.phy
640    | JTT+I+G    | EOG091E00LA                    | 160853-161382                  | ./analysis/phylofiles/18ceb85e48b734af2ee2f54fd018df78.phy
641    | LG+G+F     | EOG091E02G1                    | 161383-161602                  | ./analysis/phylofiles/2190ce95575dfe87434e7c527b285a99.phy
642    | DAYHOFF+G  | EOG091E03RN                    | 161603-161683                  | ./analysis/phylofiles/b8c5285333636b0c72157ec61bf1a50e.phy
643    | JTT+I+G    | EOG091E0288                    | 161684-161981                  | ./analysis/phylofiles/fabb6c3c645724765576e0756acfe540.phy
644    | LG+G       | EOG091E0237                    | 161982-162294                  | ./analysis/phylofiles/3385f57f3b708fbc7d0136fa479072d7.phy
645    | LG+G       | EOG091E02J6                    | 162295-162459                  | ./analysis/phylofiles/ce64f0ae8ae9cfa5e395c9fbc78ae57f.phy
646    | LG+G       | EOG091E01II                    | 162460-162717                  | ./analysis/phylofiles/77f9128a0ca55b2aabc8cd7f74cf69e7.phy
647    | JTT+G      | EOG091E0600                    | 162718-162813                  | ./analysis/phylofiles/e3c86f1d1cea30b7a28ff6d2fcbf00b5.phy
648    | JTT+G      | EOG091E02ZN                    | 162814-163013                  | ./analysis/phylofiles/71b2a09c41888eb05e31a5fee5b62960.phy
649    | LG+G       | EOG091E02M4                    | 163014-163209                  | ./analysis/phylofiles/b3ef8d709849947b72c234e59c4b2343.phy
650    | LG+G       | EOG091E0253                    | 163210-163492                  | ./analysis/phylofiles/1e4b901bf77a8d4f94e90d53f1993e3e.phy
651    | LG+I+G+F   | EOG091E03Q2                    | 163493-163655                  | ./analysis/phylofiles/82ffb5d4cf133fc0fff5c0bcce5e61f1.phy
652    | JTT+G+F    | EOG091E029S                    | 163656-163960                  | ./analysis/phylofiles/8f3879937dbea0112c2ce7e7ac745b41.phy
653    | VT+G       | EOG091E01VQ                    | 163961-164271                  | ./analysis/phylofiles/4599130178f31510d60673d21a10bf85.phy
654    | JTT+G      | EOG091E03T8                    | 164272-164345                  | ./analysis/phylofiles/6d4c4a0aabffd5ccd1260ee85b142d71.phy
655    | CPREV+G    | EOG091E03KE                    | 164346-164453                  | ./analysis/phylofiles/0f294bee408bbffa901ef0af9d914848.phy
656    | LG+I+G     | EOG091E03TX                    | 164454-164584                  | ./analysis/phylofiles/3fc4a5734d9877dccc6f1e93522831ec.phy
657    | LG+G       | EOG091E02X5                    | 164585-164700                  | ./analysis/phylofiles/0bb0a119c8a58e4dacd0c0e57ae6549d.phy
658    | JTT+G      | EOG091E00BJ                    | 164701-164914                  | ./analysis/phylofiles/5c1e9a6628b27d605e021346678da3f9.phy
659    | LG+G       | EOG091E01BF                    | 164915-165141                  | ./analysis/phylofiles/754767bbe53e388a4836c16c84ac2a48.phy
660    | LG+I+G     | EOG091E06DW                    | 165142-165211                  | ./analysis/phylofiles/29d456d068e2d2a7bfc2f2e37a7e3fd7.phy
661    | LG+G       | EOG091E00KV                    | 165212-165398                  | ./analysis/phylofiles/e166957b55b01d4ddde950860c4d52f8.phy
662    | JTT+G+F    | EOG091E00TK                    | 165399-165660                  | ./analysis/phylofiles/d19ccd23172f18390ad693a463fa9a17.phy
663    | LG+I+G     | EOG091E00E0                    | 165661-166097                  | ./analysis/phylofiles/9cf1fd19d846b96e06911dc8fd37e9bc.phy
664    | JTT+G+F    | EOG091E030N                    | 166098-166441                  | ./analysis/phylofiles/527c42cbd422f0db3ffca604a8fe991e.phy
665    | LG+G       | EOG091E00QP                    | 166442-167187                  | ./analysis/phylofiles/8438d0eae068ee694bca0a90ee345523.phy
666    | LG+G       | EOG091E021V                    | 167188-167367                  | ./analysis/phylofiles/fe3b948b531a2ab70ae7b03f43a6cd1d.phy
667    | LG+I+G     | EOG091E062D                    | 167368-167489                  | ./analysis/phylofiles/5ca8c7cfa1d81252ca7dd4a084afc434.phy
668    | DCMUT+G    | EOG091E03SG                    | 167490-167568                  | ./analysis/phylofiles/c3b8feb68c2e0863b75bf5ba5be2be60.phy
669    | LG+G+F     | EOG091E029U                    | 167569-167886                  | ./analysis/phylofiles/7423dc2ae6ef278e4e3689e9e42b0cfb.phy
670    | JTT+G      | EOG091E00KN                    | 167887-168059                  | ./analysis/phylofiles/b5ffd80503fe2c14e3a2a70ddc9a714d.phy
671    | JTT+I+G    | EOG091E00TP                    | 168060-168526                  | ./analysis/phylofiles/a81fb5b2e1cc7824a8a5e4d45c5f2612.phy
672    | DCMUT+G    | EOG091E00GJ                    | 168527-168658                  | ./analysis/phylofiles/b9ae35bd2ba7e3c347ef39e6e6115f06.phy
673    | LG+G+F     | EOG091E02XM                    | 168659-168917                  | ./analysis/phylofiles/fa9b611d13706df76d705d26871812bf.phy
674    | LG+G+F     | EOG091E0299                    | 168918-169176                  | ./analysis/phylofiles/926b6537b5cdb89f1d13fdd6b19925fe.phy
675    | LG+G       | EOG091E00KB                    | 169177-169370                  | ./analysis/phylofiles/686f7d4ced2cab4fbf9ed33b74e399df.phy
676    | LG+I+G+F   | EOG091E01RL                    | 169371-169677                  | ./analysis/phylofiles/05028ac5e2a9ae42764ef0f52ad84bd5.phy
677    | LG+G       | EOG091E02S9                    | 169678-169921                  | ./analysis/phylofiles/3da57c2608819d3305b5065fa2c5ea1c.phy
678    | JTT+G      | EOG091E05I6                    | 169922-170044                  | ./analysis/phylofiles/1672f2db4a21a8ba07043c40ee007d0c.phy
679    | LG+G+F     | EOG091E01V1                    | 170045-170376                  | ./analysis/phylofiles/c0282ebb1b5714ad9887c9441fc9db98.phy
680    | JTT+G      | EOG091E006Q                    | 170377-170706                  | ./analysis/phylofiles/4e86f84872045819f95cab0adedf3356.phy
681    | LG+G       | EOG091E022A                    | 170707-171064                  | ./analysis/phylofiles/f7b96369788b0285bdbaf16aff86df06.phy
682    | JTT+G+F    | EOG091E03JB                    | 171065-171192                  | ./analysis/phylofiles/f64be87d90afbffce21dfeafb8a5a325.phy
683    | JTT+G      | EOG091E05JG                    | 171193-171468                  | ./analysis/phylofiles/4f1fbb72f40f049f1ad27359350d712c.phy
684    | LG+G+F     | EOG091E00SF                    | 171469-171871                  | ./analysis/phylofiles/ccc02136725e9d8be02b7aa09ba9666b.phy
685    | LG+G       | EOG091E01YN                    | 171872-172178                  | ./analysis/phylofiles/438d208942be01abcb279cbcfa29546c.phy
686    | LG+G       | EOG091E03YH                    | 172179-172287                  | ./analysis/phylofiles/8d5b53710aa794f01462af11829e6849.phy
687    | LG+G       | EOG091E0346                    | 172288-172488                  | ./analysis/phylofiles/4a38648a3c60e4b7d3b9635ce7e2aea9.phy
688    | LG+G       | EOG091E0075                    | 172489-172574                  | ./analysis/phylofiles/cc78219f88088eb01283a919475c757d.phy
689    | LG+G+F     | EOG091E03Y7                    | 172575-172745                  | ./analysis/phylofiles/e4566460adfa0217533ec95f43cb2950.phy
690    | WAG+G      | EOG091E0461                    | 172746-172868                  | ./analysis/phylofiles/5cce38be3e79aca4a5945565bcb38250.phy
691    | LG+G       | EOG091E036U                    | 172869-173037                  | ./analysis/phylofiles/bd8ba1b7e26a43d7507eea8dc6f3759d.phy
692    | JTT+G+F    | EOG091E01FV                    | 173038-173344                  | ./analysis/phylofiles/1c02052d9da244ba161b5be2a5b6d9a0.phy
693    | LG+I+G     | EOG091E03B0                    | 173345-173467                  | ./analysis/phylofiles/787d5cfdb3b142edde36f0bdf851e6cf.phy
694    | LG+I+G     | EOG091E00WX                    | 173468-173954                  | ./analysis/phylofiles/5130d0267322b697b6ed4709bc056dce.phy
695    | LG+I+G     | EOG091E02U8                    | 173955-174157                  | ./analysis/phylofiles/57c1384c4ed070ae088beb98783edd89.phy
696    | LG+I+G+F   | EOG091E01TI                    | 174158-174574                  | ./analysis/phylofiles/644878db3e2a63dd327ee1b2acd5bbfa.phy
697    | LG+G+F     | EOG091E032A                    | 174575-174711                  | ./analysis/phylofiles/a6c3681193de16d03cdc175f7409d3ad.phy
698    | JTT+I+G    | EOG091E02DM                    | 174712-174908                  | ./analysis/phylofiles/76218be184b6078af4561ed586227d8f.phy
699    | LG+G       | EOG091E05BD                    | 174909-175089                  | ./analysis/phylofiles/e3ea388290ce1ac1349c01d14128f934.phy
700    | LG+I+G+F   | EOG091E00BV                    | 175090-175446                  | ./analysis/phylofiles/6da761fa2b4445895ad8fb0290c104a8.phy
701    | LG+G       | EOG091E03SU                    | 175447-175503                  | ./analysis/phylofiles/cb5f86713aeffb7840c77769d8c2922f.phy
702    | LG+G+F     | EOG091E00OU                    | 175504-175961                  | ./analysis/phylofiles/279729283f490a155c76c3e8eb96dfe4.phy
703    | LG+I+G     | EOG091E019Z                    | 175962-176331                  | ./analysis/phylofiles/b8b596a40e16cde82da9b36b5fdf8ee4.phy
704    | LG+G       | EOG091E02GU                    | 176332-176490                  | ./analysis/phylofiles/613b0c00ef617b922cf2c1bc4b21f2cf.phy
705    | LG+G       | EOG091E02FT                    | 176491-176670                  | ./analysis/phylofiles/d0e5d7d2a837c005a462cd86c00e8eae.phy
706    | JTT+G      | EOG091E01JA                    | 176671-176887                  | ./analysis/phylofiles/3b24968a7d7c0d6bef0bb2575010c5cb.phy
707    | LG+G       | EOG091E03ED                    | 176888-177036                  | ./analysis/phylofiles/3065f7c38aa9e1f0263bbdf32c0771a6.phy
708    | WAG+G      | EOG091E00NE                    | 177037-177417                  | ./analysis/phylofiles/c8bc2b261d2fd952a7ca35f95ce39f1c.phy
709    | LG+G       | EOG091E03CH                    | 177418-177494                  | ./analysis/phylofiles/29d91f28b90b17af5a58a023f6afe57c.phy
710    | JTT+G      | EOG091E01DD                    | 177495-177550                  | ./analysis/phylofiles/36c95638086a196c0d6227a33dd57846.phy
711    | JTT+G      | EOG091E01UT                    | 177551-177756                  | ./analysis/phylofiles/26ce5ec51ee2cfe6a15424cda07cfeea.phy
712    | RTREV+G+F  | EOG091E03Q4                    | 177757-177933                  | ./analysis/phylofiles/f4ad315e8f6c90d07257131756f1c523.phy
713    | LG+G       | EOG091E02IS                    | 177934-178120                  | ./analysis/phylofiles/f01473d30d5030bf984089f8fce2736d.phy
714    | LG+I+G     | EOG091E01PY                    | 178121-178418                  | ./analysis/phylofiles/851975e0d7a4fdd93780b6057baaca6c.phy
715    | VT+G       | EOG091E00TC                    | 178419-178754                  | ./analysis/phylofiles/0934ce8ce4f0d1072a0140013e02bce0.phy
716    | LG+I+G     | EOG091E03FX                    | 178755-178893                  | ./analysis/phylofiles/b19bf7f180af1dcd3fd9b50f4cb1a524.phy
717    | LG+G       | EOG091E00K8                    | 178894-178956                  | ./analysis/phylofiles/ac46d74e8479f088b5c5a89b39897a1f.phy
718    | LG+G       | EOG091E00UA                    | 178957-179250                  | ./analysis/phylofiles/11d515aa198c163219edf6aa24efede4.phy
719    | LG+I+G     | EOG091E03UT                    | 179251-179405                  | ./analysis/phylofiles/84e574b8836bd7dfe05185f5b3ff519c.phy
720    | LG+G       | EOG091E02O2                    | 179406-179578                  | ./analysis/phylofiles/ac9c8f4039bcb0fcd99450830ac86846.phy
721    | LG+G       | EOG091E0106                    | 179579-179728                  | ./analysis/phylofiles/a8cf832b4b45bf0b4aec7e58372d2a20.phy
722    | LG+I+G+F   | EOG091E056L                    | 179729-179883                  | ./analysis/phylofiles/3e1a304493d8ee4dabd3c93fab86ebb4.phy
723    | LG+I+G+F   | EOG091E02EZ                    | 179884-180130                  | ./analysis/phylofiles/bf91a17b0a463ddb43707e4e27d788f9.phy
724    | LG+G       | EOG091E03E5                    | 180131-180213                  | ./analysis/phylofiles/d9e3718e83a0c5782b36dca7137836fd.phy
725    | JTT+I+G    | EOG091E03C3                    | 180214-180342                  | ./analysis/phylofiles/eb9c400e785cfb2dd39b8bc5ce46fea4.phy
726    | LG+I+G     | EOG091E02L5                    | 180343-180530                  | ./analysis/phylofiles/db596af603be5f733e29c0c97150da58.phy
727    | LG+G       | EOG091E036A                    | 180531-180678                  | ./analysis/phylofiles/f54a0bb0f10dc75861bb62ff7ec2b136.phy
728    | LG+G       | EOG091E04ZT                    | 180679-180942                  | ./analysis/phylofiles/aa92cfbdae1af2ffeaad6354bca406d3.phy
729    | LG+G       | EOG091E01HU                    | 180943-181248                  | ./analysis/phylofiles/d26bc402b1ff79b7ef135d410fdd4e62.phy
730    | JTT+G      | EOG091E01UF                    | 181249-181536                  | ./analysis/phylofiles/de49a266dd134d98e2349769f5917d7a.phy
731    | VT+G       | EOG091E013F                    | 181537-181665                  | ./analysis/phylofiles/9a4fc358516618ef89fb6e47410a4cff.phy
732    | JTT+G      | EOG091E03TQ                    | 181666-181759                  | ./analysis/phylofiles/2acd0bfdc663b87df01230b4e0166872.phy
733    | JTT+G      | EOG091E00MN                    | 181760-182028                  | ./analysis/phylofiles/ba9f9e7dde3a202c41c516b3736eea79.phy
734    | LG+I+G     | EOG091E02YN                    | 182029-182192                  | ./analysis/phylofiles/554b45eb5f279941b459ccd03b9c17ba.phy
735    | LG+G       | EOG091E01IQ                    | 182193-182619                  | ./analysis/phylofiles/4ae570df5cb9fe7c41b6d11d5c1f3386.phy
736    | LG+I+G     | EOG091E01RT                    | 182620-183101                  | ./analysis/phylofiles/98eabd9190117c198906add2975ff5b7.phy
737    | LG+I+G     | EOG091E031C                    | 183102-183286                  | ./analysis/phylofiles/91a6cf90f0435e0c6be93479a9b5bde6.phy
738    | LG+G       | EOG091E04ID                    | 183287-183557                  | ./analysis/phylofiles/6e607457d1328ee17c4d3a92ed6f9d7e.phy
739    | WAG+G      | EOG091E04AA                    | 183558-183689                  | ./analysis/phylofiles/9e10e4649e32a7df9c490fa8a3d74e3c.phy
740    | LG+G       | EOG091E02M0                    | 183690-183894                  | ./analysis/phylofiles/fd56713a2411f74299dee653ce4e06aa.phy
741    | WAG+G      | EOG091E03UW                    | 183895-183980                  | ./analysis/phylofiles/d03bba7aa26e45a7adcb3b19b2d92f45.phy
742    | LG+I+G     | EOG091E03G5                    | 183981-184148                  | ./analysis/phylofiles/5acdd3734de55bda1f20106d12f93382.phy
743    | JTT+G+F    | EOG091E039L                    | 184149-184393                  | ./analysis/phylofiles/aeacb689174da32a57dab1a6f695e370.phy
744    | LG+I+G     | EOG091E02I8                    | 184394-184576                  | ./analysis/phylofiles/f2b8c1c22029630c948d05b4975c457e.phy
745    | LG+G       | EOG091E01TD                    | 184577-184717                  | ./analysis/phylofiles/074479eedd6fd340022cf830c58b2449.phy
746    | LG+I+G     | EOG091E0328                    | 184718-184869                  | ./analysis/phylofiles/034d292950cbfa0da09f295049644209.phy
747    | LG+I+G+F   | EOG091E01K6                    | 184870-185242                  | ./analysis/phylofiles/9af7f8d65932dc7fa0f4100ab72e17cf.phy
748    | JTT+G+F    | EOG091E050Z                    | 185243-185453                  | ./analysis/phylofiles/d43523c80d4c73d8a252c17a8ae79147.phy
749    | JTT+I+G    | EOG091E03II                    | 185454-185670                  | ./analysis/phylofiles/c1d0d80f976f4bce57c3eac2d56e1f89.phy
750    | LG+G       | EOG091E031N                    | 185671-185875                  | ./analysis/phylofiles/02c57016546967ecf478d19148fa3f39.phy
751    | LG+G       | EOG091E001J                    | 185876-186050                  | ./analysis/phylofiles/6e008b497fd057e094531802bb301de6.phy
752    | LG+I+G     | EOG091E02DX                    | 186051-186266                  | ./analysis/phylofiles/9047743b581eaf943fe1c221e0bffebf.phy
753    | JTT+G      | EOG091E0342                    | 186267-186385                  | ./analysis/phylofiles/dd75805967ff6d72edb9596b206440b3.phy
754    | LG+G       | EOG091E019M                    | 186386-186844                  | ./analysis/phylofiles/ddff476abe7eea4b2d198c52c67fcbd9.phy
755    | JTT+G      | EOG091E00HR                    | 186845-187235                  | ./analysis/phylofiles/274022fb3f22da1b7d54d6fce5dfb177.phy
756    | LG+G+F     | EOG091E00Q6                    | 187236-187431                  | ./analysis/phylofiles/3b870560e8550847998fc6bfee7d7571.phy
757    | LG+I+G+F   | EOG091E0169                    | 187432-187859                  | ./analysis/phylofiles/243a0f4f23cc5aa0d5317edc5f2d0791.phy
758    | LG+G       | EOG091E01BO                    | 187860-188187                  | ./analysis/phylofiles/86fc21384b8e32dac6e0d5e7346a54ef.phy
759    | LG+G+F     | EOG091E008G                    | 188188-188691                  | ./analysis/phylofiles/fdada034772d79a6ad503d7db042de5b.phy
760    | LG+I+G+F   | EOG091E00SL                    | 188692-189286                  | ./analysis/phylofiles/822a604489dbdd24617c13235a09e43c.phy
761    | LG+G       | EOG091E024A                    | 189287-189519                  | ./analysis/phylofiles/f23d92fb6131f11566d3b0fdb914c82d.phy
762    | LG+G       | EOG091E00KC                    | 189520-190211                  | ./analysis/phylofiles/b02230c5ea83e6f5aabfcfe495551841.phy
763    | LG+I+G     | EOG091E03J0                    | 190212-190343                  | ./analysis/phylofiles/8482216082432cd596614482b8dbac93.phy
764    | LG+G       | EOG091E01LW                    | 190344-190752                  | ./analysis/phylofiles/19e32e657dac5c9759fdb3cd8878e5fa.phy
765    | LG+I+G     | EOG091E01UK                    | 190753-191154                  | ./analysis/phylofiles/d65034aebb0d91053f0dcb77ec73a337.phy
766    | LG+G       | EOG091E04TM                    | 191155-191357                  | ./analysis/phylofiles/d2b5fabf7aa3c40878d8a8ef463bb1f8.phy
767    | LG+I+G     | EOG091E02I2                    | 191358-191699                  | ./analysis/phylofiles/e88ebc970aa6cb4757aed787308fe170.phy
768    | VT+G       | EOG091E00WJ                    | 191700-191778                  | ./analysis/phylofiles/acd00523d382a536d89975ec62b6ea28.phy
769    | WAG+G+F    | EOG091E04QK                    | 191779-192104                  | ./analysis/phylofiles/5ae8d19fba10b7e0601e6abc492e8506.phy
770    | JTT+I+G    | EOG091E03QP                    | 192105-192337                  | ./analysis/phylofiles/d3b2e23979d84495404380e9c76f8e00.phy
771    | LG+I+G     | EOG091E00L4                    | 192338-192916                  | ./analysis/phylofiles/ef4e629dd03f96c8830edac31097a275.phy
772    | LG+G       | EOG091E03S8                    | 192917-193138                  | ./analysis/phylofiles/bd0f2cdec04ceb4f38093054e71286e9.phy
773    | LG+G       | EOG091E01Y6                    | 193139-193432                  | ./analysis/phylofiles/6ff60156e0bfa106c097a5b40009d8a0.phy
774    | LG+I+G     | EOG091E039X                    | 193433-193600                  | ./analysis/phylofiles/2780cfba1178e028afd387b6b064658d.phy
775    | LG+G       | EOG091E041V                    | 193601-194180                  | ./analysis/phylofiles/fb84565ad34583bbd353c4a892da9f2a.phy
776    | LG+G       | EOG091E0176                    | 194181-194368                  | ./analysis/phylofiles/ed5276075dfea8c617d16d0e0dae8413.phy
777    | LG+I+G     | EOG091E03R9                    | 194369-194469                  | ./analysis/phylofiles/945192073ce55e0f5bfadc964942665a.phy
778    | JTT+I+G+F  | EOG091E01DW                    | 194470-194755                  | ./analysis/phylofiles/9ba07b9675ec63f94927c65720e43ede.phy
779    | LG+G       | EOG091E014V                    | 194756-195277                  | ./analysis/phylofiles/eeb1631dcc00f8a2cd9e24adabb14222.phy
780    | WAG+I+G+F  | EOG091E04KS                    | 195278-195621                  | ./analysis/phylofiles/3a5f783c78fc9f2c923c46f938b78a33.phy
781    | LG+G       | EOG091E00YF                    | 195622-196106                  | ./analysis/phylofiles/91cf61b7853895031cd44287cd557be1.phy
782    | LG+I+G     | EOG091E00UJ                    | 196107-196466                  | ./analysis/phylofiles/1a7402437c1d34f83192c44d3f263960.phy
783    | LG+G       | EOG091E00HU                    | 196467-196941                  | ./analysis/phylofiles/00042c40664fc014689f20f09df06a5e.phy
784    | JTT+G      | EOG091E029N                    | 196942-197145                  | ./analysis/phylofiles/7ecb07831a1636a04d71b0e57e7218aa.phy
785    | LG+G       | EOG091E013H                    | 197146-197603                  | ./analysis/phylofiles/4ba5e092d180027df41db373df68cd91.phy
786    | LG+G       | EOG091E03PD                    | 197604-197734                  | ./analysis/phylofiles/d816f5d9a673ab880bcb45145174786d.phy
787    | JTT+G      | EOG091E007L                    | 197735-198117                  | ./analysis/phylofiles/131b8ba384106defc9e3ff6793ca09e1.phy
788    | LG+I+G+F   | EOG091E02CK                    | 198118-198428                  | ./analysis/phylofiles/03d8cb7cb36c0957aaa14c39b62c94b4.phy
789    | LG+I+G     | EOG091E03CW                    | 198429-198558                  | ./analysis/phylofiles/67e8a44c7db682c2db2cd2030eb71c02.phy
790    | LG+G       | EOG091E01DJ                    | 198559-198685                  | ./analysis/phylofiles/b37face28b666d3bfa71ded336ac324b.phy
791    | LG+G+F     | EOG091E00WD                    | 198686-198927                  | ./analysis/phylofiles/609c3fc68ec4b617f693b3731bb359e4.phy
792    | WAG+G      | EOG091E022V                    | 198928-199072                  | ./analysis/phylofiles/249f71693f59708b207d8c05e4fc2f97.phy
793    | LG+I+G     | EOG091E030R                    | 199073-199241                  | ./analysis/phylofiles/748026bd25ded1e1c3026812e0ea2a3f.phy
794    | LG+G       | EOG091E02TT                    | 199242-199400                  | ./analysis/phylofiles/bd91bf0e1f9197c9d0d6d2cae4b45404.phy
795    | JTT+G+F    | EOG091E00DY                    | 199401-199710                  | ./analysis/phylofiles/2bf729254108e0c1cf62b8d4bda0a271.phy
796    | LG+I+G+F   | EOG091E015G                    | 199711-200192                  | ./analysis/phylofiles/c75caa068d577de2f9919fa5ad3a16c5.phy
797    | JTT+I+G+F  | EOG091E0392                    | 200193-200442                  | ./analysis/phylofiles/5da607520d81ab92761a3cc31c1d843f.phy
798    | LG+G       | EOG091E01P0                    | 200443-200661                  | ./analysis/phylofiles/99e29c270cbe09b4916296ec1db2aa0e.phy
799    | LG+I+G     | EOG091E035R                    | 200662-200827                  | ./analysis/phylofiles/cc994e427d7c38f05f35a34c311f98f7.phy
800    | LG+G       | EOG091E01MJ                    | 200828-201196                  | ./analysis/phylofiles/8615aac03fb330d2ab51e9d9d9766e10.phy
801    | LG+I+G     | EOG091E0283                    | 201197-201343                  | ./analysis/phylofiles/84b9091414881934ba2778a7a21e62f2.phy
802    | LG+I+G     | EOG091E00QG                    | 201344-201884                  | ./analysis/phylofiles/1c30de7e4fb3bf5e18552dd74ac78ea1.phy
803    | JTT+G      | EOG091E00CT                    | 201885-202047                  | ./analysis/phylofiles/46b5a4826f449fad14988759f096812e.phy
804    | LG+G       | EOG091E029V                    | 202048-202154                  | ./analysis/phylofiles/249ad43e33df04d8db117d26cb34d762.phy
